,sr,irstp,miu_period,egalitarian_discounting,growth_factor_prio,prioritarian_discounting,sufficitarian growth factor,sufficitarian_discounting,treshold level,principle
policy370,0.2014852608678284,0.001,13,,,,,,,utilitarian
policy132,0.2094756523529959,0.0049,13,,,,,,,utilitarian
policy79,0.21159371250506712,0.0062,12,,,,,,,utilitarian
policy417,0.20290633783977752,0.013499999999999998,14,,,,,,,utilitarian
policy857,0.2153750651905316,0.0075,13,,,,,,,utilitarian
policy0,0.2694737532924365,0.0010000005743547322,7,,,,1.04,0,2.4000000000000004,sufficitarian
policy29,0.2682155244422714,0.0010000041758655963,7,,,,1.008,0,0.7,sufficitarian
policy30,0.26409419362494085,0.0010000036507811837,7,,,,1.0,0,2.4000000000000004,sufficitarian
policy10,0.2661177650970015,0.0010000057547176714,7,,,,1.032,0,1.04,sufficitarian
policy6,0.27259560405664424,0.001000058886015268,7,,,,1.032,1,2.4000000000000004,sufficitarian
policy35,0.2759641731976061,0.0010000013233971334,7,,,,1.0,1,0.7,sufficitarian
policy13,0.27049897126662564,0.0010000044527268821,8,,,,1.024,1,2.0600000000000005,sufficitarian
policy11,0.2688424902736708,0.0010000063229245657,8,,,,1.032,1,0.7,sufficitarian
policy36,0.4747647046498785,0.006910940242297743,28,0,,,,,,egalitarian
policy0,0.4697142257492958,0.013704861809761668,29,0,,,,,,egalitarian
policy39,0.10000000000000014,0.006331301165940439,7,0,,,,,,egalitarian
policy18,0.10000000000000002,0.007588378370289428,13,0,,,,,,egalitarian
policy14,0.4783187133399518,0.003727015322566869,27,1,,,,,,egalitarian
policy42,0.10000000000000014,0.006457573116383054,6,1,,,,,,egalitarian
policy48,0.1961453316932471,0.0076587444011853014,30,1,,,,,,egalitarian
policy29,0.10503774434525523,0.008206066955080013,20,1,,,,,,egalitarian
policy11,0.2610390937054809,0.007439303105224694,7,,1.0254021890202183,0,,,,prioritarian
policy28,0.10001272746094894,0.0057527648829090615,20,,1.0137155465853689,0,,,,prioritarian
policy33,0.13975137485329026,0.001115525522722715,12,,1.0066479214645607,0,,,,prioritarian
policy26,0.14168012886546374,0.005641999368745549,5,,1.0338397408011883,0,,,,prioritarian
policy49,0.13269205515325366,0.006977673488423782,10,,1.000928969900362,1,,,,prioritarian
policy19,0.22561024601804924,0.004155506361068637,5,,1.008856871481513,1,,,,prioritarian
policy1,0.25094762721843245,0.0028064919060710545,5,,1.0328166277632966,1,,,,prioritarian
policy15,0.19999897878698003,0.014605190150383241,5,,1.025143728033696,1,,,,prioritarian
