,epsilon_progress,nfe
0,0,0
1,48,100
2,145,1100
3,179,2100
4,203,3100
5,220,4100
6,236,5100
7,251,6100
8,268,7100
9,280,8100
10,289,9100
11,304,10132
12,317,11188
13,319,12244
14,322,13300
15,325,14356
16,327,15412
17,329,16468
18,331,17524
19,335,18580
20,336,19636
21,337,20692
22,338,21748
23,339,22804
24,340,23860
25,341,24916
26,342,25972
27,345,27028
28,346,28084
29,350,29140
30,353,30196
31,353,31252
32,353,32308
33,355,33364
34,356,34420
35,358,35476
36,358,36532
37,359,37588
38,359,38644
39,361,39700
40,361,40756
41,361,41812
42,361,42868
43,362,43924
44,362,44980
45,362,46036
46,363,47092
47,363,48148
48,364,49204
49,364,50260
50,366,51316
51,367,52372
52,368,53428
53,369,54484
54,370,55540
55,371,56596
56,371,57652
57,372,58708
58,372,59764
59,373,60820
60,373,61876
61,373,62932
62,373,63988
63,374,65044
64,374,66100
65,374,67156
66,374,68212
67,374,69268
68,374,70324
69,374,71380
70,375,72436
71,376,73492
72,376,74548
73,376,75604
74,377,76660
75,377,77716
76,377,78772
77,377,79828
78,377,80884
79,377,81940
80,377,82996
81,377,84052
82,377,85108
83,378,86164
84,380,87220
85,380,88276
86,381,89332
87,382,90388
88,382,91444
89,382,92500
90,382,93556
91,382,94612
92,382,95668
93,382,96724
94,382,97780
95,382,98836
96,382,99892
97,382,100948
98,382,102004
99,382,103060
100,383,104116
101,383,105172
102,383,106228
103,383,107284
104,383,108340
105,383,109396
106,383,110452
107,383,111508
108,383,112564
109,383,113620
110,383,114676
111,384,115732
112,384,116788
113,385,117844
114,385,118900
115,385,119956
116,386,121012
117,386,122068
118,386,123124
119,386,124180
120,386,125236
121,386,126292
122,386,127348
123,386,128404
124,386,129460
125,386,130516
126,386,131572
127,386,132628
128,387,133684
129,387,134740
130,388,135796
131,388,136852
132,388,137908
133,388,138964
134,388,140020
135,388,141076
136,388,142132
137,388,143188
138,388,144244
139,388,145300
140,388,146356
141,388,147412
142,388,148468
143,388,149524
144,388,150580
145,388,151636
146,388,152692
147,388,153748
148,389,154804
149,389,155860
150,389,156916
151,389,157972
152,389,159028
153,389,160084
154,389,161140
155,389,162196
156,389,163252
157,389,164308
158,389,165364
159,390,166420
160,390,167476
161,390,168532
162,390,169588
163,390,170644
164,390,171700
165,391,172756
166,391,173812
167,391,174868
168,392,175924
169,392,176980
170,392,178036
171,392,179092
172,392,180148
173,392,181204
174,392,182260
175,392,183316
176,393,184372
177,393,185428
178,394,186506
179,394,187576
180,394,188646
181,394,189716
182,394,190786
183,394,191856
184,394,192926
185,394,193996
186,395,195066
187,395,196136
188,396,197206
189,396,198276
190,396,199346
