,Unnamed: 0,sr,irstp,miu_period,sufficitarian growth factor,sufficitarian_discounting,treshold level,Distance to treshold 2055,Population under treshold 2055,Distance to treshold 2105,Population under treshold 2105,Distance to treshold 2155,Population under treshold 2155,Distance to treshold 2205,Population under treshold 2205,Distance to treshold 2305,Population under treshold 2305,Total Aggregated Utility
0,0,0.2694737532924365,0.0010000005743547322,7,1.04,0,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.397107880366
0,0,0.2707215335302647,0.0010000307111158718,8,1.04,1,2.0600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17965.95685091864
0,0,0.27742677766795953,0.001000043069719647,7,1.04,0,1.7200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17965.81598485088
0,0,0.2694457164621747,0.001000031129522565,8,1.04,1,1.3800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17965.9760928234
0,0,0.27268530692661896,0.0010000142422389047,8,1.04,1,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17965.933482534987
0,0,0.2665628112640849,0.0010000607699199287,8,1.04,1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17965.854015288143
0,0,0.27259560405664424,0.001000058886015268,7,1.032,1,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.140777325432
0,0,0.2628426054366885,0.0010000011552172387,7,1.032,0,2.0600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.139925033018
0,0,0.27217701945294825,0.0010000050316668243,6,1.032,0,1.7200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17965.892378683802
0,0,0.27735294427811635,0.0010000641211352745,8,1.032,1,1.3800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17965.41132637701
0,0,0.2661177650970015,0.0010000057547176714,7,1.032,0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.325006603063
0,0,0.2688424902736708,0.0010000063229245657,8,1.032,1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.053228233577
0,0,0.2676176209370429,0.0010000819281721807,7,1.024,0,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.138699747746
0,0,0.27049897126662564,0.0010000044527268821,8,1.024,1,2.0600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.04122575379
0,0,0.27302387172000303,0.0010000205167360887,8,1.024,0,1.7200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17965.896880816174
0,0,0.2692561348900545,0.0010000264008545156,6,1.024,0,1.3800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17965.885205358765
0,0,0.2696114004158934,0.0010000304392588472,8,1.024,1,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17965.976719285143
0,0,0.2675824770298397,0.0010000033962124257,7,1.024,0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.375095268333
0,0,0.26750942827549634,0.0010000005177318106,8,1.016,1,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.058716542793
0,0,0.265874965996438,0.0010000140193884607,8,1.016,0,2.0600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17965.971057337578
0,0,0.2644091750219173,0.0010000008099927146,7,1.016,1,1.7200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.25380076417
0,0,0.2668135640938677,0.0010000100891190944,7,1.016,1,1.3800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.335886919747
0,0,0.2678886939881321,0.001000023415639742,7,1.016,0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.320046147557
0,0,0.2710850617040665,0.0010000783640330716,7,1.016,0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.136692414984
0,0,0.26938332064847065,0.0010000006043150557,8,1.008,0,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.068689668962
0,0,0.26794170005675383,0.001000001358531435,8,1.008,0,2.0600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.062654251655
0,0,0.2777239295633601,0.0010000018300009956,7,1.008,1,1.7200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17965.907846140766
0,0,0.2614680179188095,0.0010000213219144203,7,1.008,1,1.3800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17965.952702719405
0,0,0.2703512248475265,0.0010000011738155118,7,1.008,0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.38558619804
0,0,0.2682155244422714,0.0010000041758655963,7,1.008,0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.382511110314
0,0,0.26409419362494085,0.0010000036507811837,7,1.0,0,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.22519373984
0,0,0.2683041521879541,0.001000013569481952,7,1.0,0,2.0600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.355097852396
0,0,0.27327343500238205,0.001000000956221092,7,1.0,0,1.7200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.281498656834
0,0,0.26861324998059216,0.0010000828102666216,7,1.0,0,1.3800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.148552470055
0,0,0.2658728322847265,0.0010000000599161775,7,1.0,0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.33222767743
0,0,0.2759641731976061,0.0010000013233971334,7,1.0,1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17966.086360612033
