,epsilon_progress,nfe
0,0,0
1,23,100
2,96,1100
3,114,2100
4,130,3100
5,146,4100
6,151,5100
7,155,6100
8,159,7100
9,163,8100
10,164,9100
11,170,10162
12,173,11242
13,176,12322
14,181,13402
15,185,14482
16,189,15562
17,192,16642
18,196,17722
19,200,18802
20,201,19882
21,206,20962
22,206,22042
23,208,23122
24,209,24202
25,215,25282
26,220,26362
27,221,27442
28,223,28522
29,224,29602
30,224,30682
31,226,31762
32,228,32842
33,230,33922
34,231,35002
35,236,36082
36,237,37162
37,240,38242
38,240,39322
39,242,40402
40,243,41482
41,245,42562
42,248,43642
43,249,44722
44,251,45802
45,253,46882
46,254,47962
47,254,49042
48,256,50122
49,260,51202
50,260,52282
51,262,53362
52,263,54442
53,264,55522
54,265,56602
55,265,57682
56,268,58762
57,271,59842
58,271,60922
59,272,62002
60,272,63082
61,273,64162
62,275,65242
63,277,66322
64,280,67402
65,280,68482
66,280,69562
67,281,70642
68,282,71722
69,286,72802
70,286,73882
71,287,74962
72,287,76042
73,288,77122
74,289,78202
75,290,79282
76,290,80362
77,291,81442
78,292,82522
79,293,83602
80,294,84682
81,294,85762
82,294,86842
83,295,87922
84,295,89002
85,296,90082
86,297,91162
87,299,92242
88,299,93322
89,299,94402
90,299,95482
91,300,96562
92,300,97642
93,301,98722
94,302,99802
95,303,100882
96,303,101962
97,304,103042
98,305,104122
99,305,105202
100,305,106282
101,305,107362
102,305,108442
103,305,109522
104,306,110602
105,307,111682
106,307,112762
107,307,113842
108,307,114922
109,307,116002
110,307,117082
111,308,118162
112,308,119242
113,308,120322
114,308,121402
115,310,122482
116,311,123562
117,312,124642
118,312,125722
119,313,126802
120,313,127882
121,314,128962
122,314,130042
123,314,131122
124,314,132202
125,314,133282
126,314,134362
127,314,135442
128,315,136522
129,315,137602
130,315,138682
131,315,139762
132,315,140842
133,315,141922
134,315,143002
135,315,144082
136,315,145162
137,315,146242
138,316,147322
139,316,148402
140,316,149482
141,317,150562
142,317,151642
143,317,152722
144,317,153802
145,317,154882
146,317,155962
147,317,157042
148,317,158122
149,317,159202
150,317,160282
151,317,161362
152,318,162442
153,321,163522
154,321,164602
155,321,165682
156,321,166762
157,321,167842
158,321,168922
159,321,170002
160,322,171082
161,322,172162
162,323,173242
163,323,174322
164,323,175402
165,323,176482
166,323,177562
167,323,178642
168,323,179722
169,323,180802
170,324,181882
171,325,182962
172,325,184042
173,325,185122
174,325,186202
175,326,187282
176,326,188362
177,327,189442
178,329,190522
179,329,191602
180,329,192682
181,329,193762
182,329,194842
183,329,195922
184,329,197002
185,329,198082
186,330,199162
