,epsilon_progress,nfe
0,0,0
1,36,100
2,116,1100
3,146,2100
4,168,3100
5,190,4100
6,204,5100
7,221,6100
8,225,7100
9,232,8100
10,242,9100
11,250,10238
12,265,11510
13,270,12782
14,275,14054
15,281,15326
16,287,16598
17,292,17870
18,299,19142
19,307,20414
20,314,21686
21,322,22958
22,327,24230
23,330,25502
24,337,26774
25,341,28046
26,343,29318
27,347,30590
28,349,31862
29,350,33134
30,356,34406
31,360,35678
32,361,36950
33,363,38222
34,367,39494
35,368,40766
36,369,42038
37,370,43310
38,371,44582
39,375,45854
40,376,47126
41,379,48398
42,382,49670
43,384,50942
44,385,52214
45,388,53486
46,389,54758
47,392,56030
48,394,57302
49,394,58574
50,396,59846
51,398,61118
52,398,62390
53,399,63662
54,401,64934
55,401,66206
56,404,67478
57,405,68750
58,406,70022
59,407,71294
60,409,72566
61,410,73838
