,epsilon_progress,nfe
0,0,0
1,12,100
2,30,1100
3,50,2100
4,55,3100
5,61,4100
6,70,5100
7,76,6100
8,83,7100
9,90,8100
10,95,9100
11,96,10120
12,108,11240
13,111,12360
14,112,13480
15,115,14600
16,118,15720
17,120,16840
18,123,17960
19,124,19080
20,124,20200
21,126,21320
22,128,22440
23,129,23560
24,131,24680
25,131,25800
26,136,27042
27,145,28272
28,147,29502
29,149,30732
30,149,31962
31,153,33192
32,154,34422
33,154,35652
34,157,36882
35,159,38112
36,161,39342
37,163,40572
38,166,41802
39,166,43032
40,168,44262
41,168,45492
42,169,46722
43,171,47952
44,172,49182
