,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Distance to treshold 2055,Population under treshold 2055,Distance to treshold 2105,Population under treshold 2105,Distance to treshold 2155,Population under treshold 2155,Distance to treshold 2205,Population under treshold 2205,Distance to treshold 2305,Population under treshold 2305,Total Aggregated Utility
0,1,846,0,10080.795344726092,1,1,0,2,1,0.31768176343615373,336.4130577544048,53.52651158579912,1016.3639102991358,63.26057809348503,1646.9371171347798,70.49131700549917,1646.9371171347798,81.32438930844945,1145.161332300514,9638.022011823958
1,2,447,2,7795.91536243908,3,1,1,1,1,0.9911677198113642,468.34721663128005,52.321662713461826,3504.484132329905,60.8653267344343,7297.811380743178,67.41333411218082,6909.198142312271,77.89962284103018,7602.109478083068,-1859.1088155683774
2,2,235,2,7697.673538713336,3,0,0,1,1,0.954024989094701,468.34721663128005,0.801381756535573,1480.4925875438719,3.9924732889765937,3504.484132329905,69.12408456917703,3504.484132329905,2.234864658940884,3504.484132329905,7111.347445641227
3,2,303,0,4067.522370211936,4,1,0,1,0,0.908708649878448,448.41656952512875,0.6508445195128585,1775.9950797558326,61.942744227284685,3876.400590564865,68.77085495819516,4121.832246643048,79.22011899330504,4121.832246643048,5949.897366807545
4,1,210,0,8855.358877553588,2,1,1,2,1,0.7701349666405355,392.11377720333263,52.8961265789534,1296.1421384987152,62.93014715414396,2029.5266509623143,70.12725753789343,2176.76292534437,80.91366325135971,1387.9000465208019,10250.256751299907
5,1,462,1,11545.243689914369,4,2,0,1,0,1.0508505696839172,448.41656952512875,1.1439698060409635,676.8800301167952,1.347932469813495,676.8800301167952,1.3963978540342197,676.8800301167952,1.3547051197514102,676.8800301167952,4741.029616604631
6,2,315,1,12935.925442681322,4,0,0,1,1,0.9079751227432209,448.41656952512875,0.2637746945335142,1662.89605509462,62.239967787785275,2126.9674833382687,18.53055838564903,3530.808872453228,79.9522237824588,2126.9674833382687,7090.651615668012
7,1,737,0,6764.694983007816,2,0,0,2,1,0.8521808464686296,392.11377720333263,52.90478375837093,1296.1421384987152,62.965733782568506,1541.3550105993936,70.18395285242873,2029.5266509623143,80.91838422727251,1387.9000465208019,9882.628660483
8,2,11,2,12905.600298493713,4,0,1,2,0,0.9721833777865716,448.41656952512875,18.52397755934585,2126.9674833382687,62.175274408473065,3020.846395306409,69.1439699070316,3927.94576168609,79.66248672333641,3927.94576168609,7352.435253199006
9,1,424,1,5241.831629607638,2,0,0,2,1,0.7508250895500415,392.11377720333263,52.92343801564299,706.5010831151488,63.008969026246,1387.9000465208019,70.24150764661923,1387.9000465208019,70.76026257050042,1296.1421384987152,9532.463817451911
10,0,123,0,9911.834344877372,2,1,0,2,1,0.5607923718131529,392.11377720333263,6.624247726194095,622.5058907699087,62.46263127184449,1688.5912849814495,70.09282371193957,2176.76292534437,80.67840446080713,2599.2716992441065,14211.5227824979
