,epsilon_progress,nfe
0,0,0
1,14,100
2,25,1100
3,33,2100
4,46,3100
5,54,4100
6,65,5100
7,69,6100
8,70,7100
9,71,8100
10,79,9100
11,81,10100
12,85,11100
13,86,12100
14,86,13100
15,90,14100
16,92,15100
17,93,16100
18,94,17100
19,95,18100
20,96,19100
21,97,20100
22,98,21100
23,99,22100
24,99,23100
25,100,24100
26,101,25100
27,101,26100
28,103,27100
29,104,28100
30,105,29100
31,105,30100
32,105,31100
33,105,32100
34,106,33100
35,106,34100
36,109,35100
37,109,36100
38,110,37100
39,113,38100
40,113,39100
41,115,40108
42,116,41116
43,118,42124
44,119,43132
45,120,44140
46,120,45148
47,120,46156
48,120,47164
49,121,48172
50,122,49180
