,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Intratemporal utility GINI 2055,Intratemporal impact GINI 2055,Intratemporal utility GINI 2105,Intratemporal impact GINI 2105,Intertemporal utility GINI,Intertemporal impact GINI
0,2,868,2,13266.52683364427,4,2,0,0,0,0.37433944131052505,0.91654758544284,0.39355473534119834,0.6594983477215532,0.7207686725106651,0.8230936509679346
1,2,112,1,8055.775295709177,5,1,1,2,0,0.2657873902076208,0.7729333127148924,0.17666360716207738,0.9166582422162077,0.766528766102939,0.8252751608191997
2,2,794,0,8515.44520699879,0,1,1,1,1,0.3689082750232414,0.8569681284389297,0.2811249305658141,0.8471894886839132,0.7313057352872253,0.8210708499254973
3,2,299,1,12211.777377778259,0,1,0,1,0,0.3676923709272187,0.9164390397981094,0.27877932165893987,0.5634026498315663,0.7343788746703107,0.8550849361949958
4,1,916,2,6821.850609228826,4,1,1,1,1,0.3758332716090671,0.9165079674727781,0.3962714166491596,0.7924740969853425,0.7176680011438465,0.7692060842290771
5,2,927,2,12524.578468805801,4,1,0,1,0,0.3752495821471039,0.6145598458365205,0.4013012355791014,0.6703160239905651,0.714746437421533,0.8863236151283815
6,2,567,1,10335.593512614903,5,1,1,2,1,0.26664889418436544,0.9166160184748289,0.17803620908960563,0.6946862896188051,0.7652584700087065,0.8390613467973895
7,1,157,1,11629.61954774861,0,2,0,1,0,0.3671590384773145,0.8568591659488948,0.27711865216168496,0.9166301233796756,0.7359329754628194,0.7532523244181162
8,2,309,1,8371.146635945655,5,0,0,1,1,0.2654310845846221,0.8345447695873964,0.17563670919107396,0.7650549697958813,0.7672442735370594,0.8209774380678683
9,2,495,2,10942.910062884075,4,0,1,1,1,0.3751716145370228,0.8350809920387103,0.39450378221902926,0.9166065137884846,0.7191781712584133,0.803883395842616
10,2,802,2,7599.590834966517,5,1,1,1,0,0.2669175926352954,0.5712336204927058,0.20671869414017177,0.5782668479327676,0.7544264046567362,0.9002513129432583
11,2,931,1,12307.409063018255,3,1,1,0,1,0.3276535054753308,0.9165391188782014,0.3531708354737191,0.916623317167796,0.7116539538579322,0.8123859351644517
12,0,157,1,7104.138010765212,4,2,1,2,1,0.37477453302055935,0.9160279649178774,0.39392238424885523,0.9162900788149546,0.7200402988818014,0.7339463931816427
