Unnamed: 0,fdamage,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index,scenario,policy,model,sr,irstp,miu_period,egalitarian_discounting,principle,clusters
36670,2.0,6807.457498025498,0.0,1.0,0.0,5.0,2.0,1.0,247.0,36670,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
48379,0.0,11191.597281390066,1.0,1.0,1.0,0.0,0.0,1.0,669.0,48379,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,1
45234,1.0,11007.941847664197,1.0,2.0,1.0,3.0,1.0,1.0,75.0,45234,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,1
39719,2.0,7352.947412741124,1.0,2.0,0.0,2.0,2.0,1.0,20.0,39719,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
42003,1.0,9504.189485208788,0.0,2.0,1.0,0.0,0.0,2.0,669.0,42003,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,1
37831,2.0,11148.241642409865,1.0,1.0,0.0,4.0,2.0,2.0,340.0,37831,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
48014,1.0,6751.525709817668,1.0,0.0,0.0,2.0,2.0,2.0,502.0,48014,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
46979,1.0,9525.507638400532,1.0,0.0,1.0,5.0,1.0,1.0,836.0,46979,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,2
43610,0.0,9767.76847051896,1.0,1.0,0.0,3.0,0.0,2.0,59.0,43610,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
35519,2.0,11178.008981623603,0.0,0.0,1.0,3.0,2.0,1.0,222.0,35519,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,1
48264,0.0,6190.371012714138,0.0,2.0,0.0,0.0,1.0,1.0,441.0,48264,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
42329,1.0,9534.807994935818,0.0,1.0,1.0,4.0,1.0,2.0,2.0,42329,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,1
35452,2.0,6201.391210230127,1.0,0.0,0.0,0.0,1.0,1.0,633.0,35452,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
47374,2.0,7551.83890438052,1.0,2.0,0.0,2.0,1.0,0.0,249.0,47374,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
39067,0.0,11272.431672058672,0.0,0.0,0.0,5.0,0.0,0.0,741.0,39067,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
45783,2.0,13067.816277560263,1.0,1.0,0.0,4.0,1.0,2.0,925.0,45783,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
35575,1.0,13349.181277398642,0.0,2.0,0.0,0.0,2.0,2.0,662.0,35575,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
45280,2.0,4247.0884681812495,1.0,2.0,0.0,0.0,1.0,2.0,607.0,45280,policy19,RICE,0.2256102460180492,0.0041555063610686,5.0,,Prioritarian,0
