Unnamed: 0,fdamage,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index,scenario,policy,model,sr,irstp,miu_period,egalitarian_discounting,principle,Damages 2005,clusters
32940,0.0,6568.211459168069,0.0,2.0,0.0,3.0,1.0,1.0,654.0,102940,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,1
9739,1.0,8545.81214614357,1.0,1.0,0.0,0.0,2.0,1.0,255.0,79739,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,2
23365,1.0,6318.106518943413,1.0,1.0,0.0,1.0,2.0,1.0,464.0,93365,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,0
31332,0.0,6210.588057093493,0.0,0.0,0.0,2.0,2.0,1.0,59.0,101332,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,0
34227,1.0,4257.3637445984,0.0,0.0,0.0,4.0,0.0,2.0,894.0,104227,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,4
441,2.0,10353.83159070893,0.0,1.0,0.0,5.0,2.0,2.0,754.0,70441,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,5
28942,1.0,13212.643182078036,0.0,1.0,1.0,4.0,1.0,0.0,240.0,98942,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,4
788,1.0,11264.837412063043,1.0,0.0,1.0,0.0,2.0,1.0,704.0,70788,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,2
29813,0.0,5121.195707793984,1.0,0.0,1.0,4.0,2.0,0.0,35.0,99813,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,4
10314,1.0,11049.683734988448,1.0,0.0,0.0,5.0,0.0,2.0,995.0,80314,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,5
23468,1.0,7664.148102632742,1.0,2.0,1.0,5.0,1.0,0.0,807.0,93468,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,5
20374,2.0,13251.093729570312,1.0,0.0,0.0,1.0,2.0,1.0,189.0,90374,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,0
28450,0.0,13426.747417937571,0.0,2.0,0.0,0.0,0.0,0.0,624.0,98450,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,2
32513,1.0,4968.885631419024,1.0,2.0,0.0,3.0,2.0,2.0,934.0,102513,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,1
19528,2.0,12348.594548030316,1.0,1.0,1.0,1.0,1.0,0.0,514.0,89528,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,0
17659,0.0,7498.07624640101,0.0,2.0,1.0,2.0,2.0,1.0,974.0,87659,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,0
21808,1.0,7238.69518942471,1.0,0.0,0.0,0.0,1.0,0.0,776.0,91808,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,2
18,1.0,11992.491156348517,0.0,1.0,0.0,2.0,1.0,0.0,618.0,70018,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,0
26307,1.0,6528.175366824072,1.0,0.0,1.0,2.0,1.0,2.0,434.0,96307,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,0
27976,0.0,9358.491636571189,1.0,2.0,1.0,3.0,2.0,2.0,273.0,97976,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,1
7240,2.0,8160.317165767565,1.0,2.0,1.0,4.0,1.0,1.0,954.0,77240,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,4
24765,2.0,11932.275106861682,1.0,2.0,0.0,4.0,2.0,2.0,656.0,94765,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,4
22506,2.0,10533.506966300796,0.0,2.0,1.0,3.0,0.0,0.0,417.0,92506,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,1
22016,2.0,13648.956402837006,0.0,2.0,0.0,3.0,0.0,2.0,292.0,92016,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,1
30598,2.0,11020.34668121041,1.0,1.0,0.0,4.0,0.0,0.0,265.0,100598,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,4
7727,0.0,11414.113798449303,0.0,2.0,1.0,4.0,0.0,1.0,271.0,77727,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,4
595,1.0,4803.441837675317,1.0,2.0,1.0,5.0,2.0,1.0,611.0,70595,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,5
9939,1.0,11416.021711890586,0.0,0.0,0.0,3.0,1.0,1.0,538.0,79939,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,1
2570,1.0,4934.123579055792,1.0,2.0,0.0,1.0,2.0,2.0,957.0,72570,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,0
12807,1.0,7316.157999633484,1.0,2.0,1.0,3.0,0.0,0.0,540.0,82807,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,1
31394,0.0,13373.16725545495,1.0,2.0,0.0,2.0,1.0,0.0,363.0,101394,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,0
