Unnamed: 0,fdamage,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index,scenario,policy,model,sr,irstp,miu_period,egalitarian_discounting,principle,clusters
1670,1.0,10396.924590337225,1.0,0.0,1.0,4.0,0.0,1.0,396.0,71670,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
13379,0.0,10379.53791707239,0.0,1.0,0.0,0.0,0.0,1.0,874.0,83379,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
10234,0.0,11235.73186669574,0.0,0.0,1.0,2.0,1.0,0.0,421.0,80234,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
4719,1.0,11968.133525321547,1.0,1.0,1.0,3.0,0.0,1.0,336.0,74719,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0
7003,1.0,10984.495502006755,1.0,0.0,0.0,1.0,2.0,2.0,939.0,77003,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
2831,0.0,12116.047888479176,0.0,0.0,1.0,3.0,0.0,2.0,238.0,72831,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0
13014,1.0,13255.589744038884,0.0,1.0,1.0,2.0,0.0,2.0,3.0,83014,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
11979,1.0,6169.713130333731,1.0,0.0,1.0,5.0,2.0,0.0,332.0,81979,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
8610,0.0,13101.064356815776,1.0,0.0,0.0,3.0,1.0,1.0,494.0,78610,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0
519,1.0,5598.884766451985,0.0,0.0,1.0,5.0,0.0,1.0,847.0,70519,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
13264,1.0,4118.154089257747,1.0,0.0,1.0,5.0,1.0,2.0,728.0,83264,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
7329,0.0,7630.991514413932,1.0,1.0,0.0,1.0,2.0,1.0,364.0,77329,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
452,2.0,5061.43721165295,1.0,2.0,0.0,1.0,2.0,1.0,294.0,70452,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
12374,0.0,4909.104438582527,1.0,0.0,0.0,2.0,0.0,1.0,626.0,82374,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
4067,0.0,4320.894390170896,1.0,1.0,1.0,4.0,0.0,1.0,223.0,74067,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
10783,2.0,8683.860321827577,0.0,1.0,1.0,2.0,2.0,2.0,380.0,80783,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
575,2.0,9705.178938704594,0.0,0.0,0.0,1.0,2.0,2.0,160.0,70575,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
10280,1.0,7983.521668061411,1.0,0.0,1.0,2.0,1.0,2.0,192.0,80280,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
12986,0.0,6598.652862253772,0.0,0.0,0.0,0.0,0.0,2.0,383.0,82986,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
6183,1.0,12470.107839215236,1.0,1.0,0.0,4.0,2.0,0.0,318.0,76183,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
11135,1.0,12698.770164544674,1.0,2.0,0.0,5.0,2.0,0.0,707.0,81135,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
5890,0.0,12650.916944914596,0.0,2.0,0.0,4.0,1.0,0.0,727.0,75890,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
5073,1.0,4167.5884715462025,0.0,0.0,1.0,2.0,0.0,2.0,622.0,75073,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
1844,0.0,6293.5656070483365,0.0,1.0,1.0,2.0,2.0,0.0,477.0,71844,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
4019,1.0,4075.575858818264,1.0,2.0,1.0,1.0,1.0,0.0,864.0,74019,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,1
154,1.0,11092.370081626028,0.0,1.0,0.0,3.0,1.0,2.0,506.0,70154,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0
