Unnamed: 0,fdamage,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index,scenario,policy,model,sr,irstp,miu_period,egalitarian_discounting,principle,clusters
1670,1.0,10396.924590337225,1.0,0.0,1.0,4.0,0.0,1.0,396.0,1705,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13379,0.0,10379.53791707239,0.0,1.0,0.0,0.0,0.0,1.0,874.0,13414,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
10234,0.0,11235.73186669574,0.0,0.0,1.0,2.0,1.0,0.0,421.0,10269,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
4719,1.0,11968.133525321547,1.0,1.0,1.0,3.0,0.0,1.0,336.0,4754,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
7003,1.0,10984.495502006755,1.0,0.0,0.0,1.0,2.0,2.0,939.0,7038,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
2831,0.0,12116.047888479176,0.0,0.0,1.0,3.0,0.0,2.0,238.0,2866,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13014,1.0,13255.589744038884,0.0,1.0,1.0,2.0,0.0,2.0,3.0,13049,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
11979,1.0,6169.713130333731,1.0,0.0,1.0,5.0,2.0,0.0,332.0,12014,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
8610,0.0,13101.064356815776,1.0,0.0,0.0,3.0,1.0,1.0,494.0,8645,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
519,1.0,5598.884766451985,0.0,0.0,1.0,5.0,0.0,1.0,847.0,554,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13264,1.0,4118.154089257747,1.0,0.0,1.0,5.0,1.0,2.0,728.0,13299,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
7329,0.0,7630.991514413932,1.0,1.0,0.0,1.0,2.0,1.0,364.0,7364,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
452,2.0,5061.43721165295,1.0,2.0,0.0,1.0,2.0,1.0,294.0,487,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
