Unnamed: 0,fdamage,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index,scenario,policy,model,sr,irstp,miu_period,egalitarian_discounting,principle,clusters
71670,1.0,10396.924590337225,1.0,0.0,1.0,4.0,0.0,1.0,396.0,141670,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,3
83379,0.0,10379.53791707239,0.0,1.0,0.0,0.0,0.0,1.0,874.0,153379,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
80234,0.0,11235.73186669574,0.0,0.0,1.0,2.0,1.0,0.0,421.0,150234,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
74719,1.0,11968.133525321547,1.0,1.0,1.0,3.0,0.0,1.0,336.0,144719,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,2
77003,1.0,10984.495502006755,1.0,0.0,0.0,1.0,2.0,2.0,939.0,147003,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
72831,0.0,12116.047888479176,0.0,0.0,1.0,3.0,0.0,2.0,238.0,142831,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,2
83014,1.0,13255.589744038884,0.0,1.0,1.0,2.0,0.0,2.0,3.0,153014,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
81979,1.0,6169.713130333731,1.0,0.0,1.0,5.0,2.0,0.0,332.0,151979,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
78610,0.0,13101.064356815776,1.0,0.0,0.0,3.0,1.0,1.0,494.0,148610,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,2
70519,1.0,5598.884766451985,0.0,0.0,1.0,5.0,0.0,1.0,847.0,140519,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
83264,1.0,4118.154089257747,1.0,0.0,1.0,5.0,1.0,2.0,728.0,153264,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
77329,0.0,7630.991514413932,1.0,1.0,0.0,1.0,2.0,1.0,364.0,147329,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
70452,2.0,5061.43721165295,1.0,2.0,0.0,1.0,2.0,1.0,294.0,140452,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
82374,0.0,4909.104438582527,1.0,0.0,0.0,2.0,0.0,1.0,626.0,152374,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
74067,0.0,4320.894390170896,1.0,1.0,1.0,4.0,0.0,1.0,223.0,144067,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,3
80783,2.0,8683.860321827577,0.0,1.0,1.0,2.0,2.0,2.0,380.0,150783,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
70575,2.0,9705.178938704594,0.0,0.0,0.0,1.0,2.0,2.0,160.0,140575,policy30,RICE,0.2640941936249408,0.0010000036507811,7.0,,Sufficitarian,6
